Case,Asaba_Rad,Full_Case
"{'son': 'A', 'son_of_son': '0', 'wife': '1/8'}","{'son': '7/8', 'son_of_son': '0', 'wife': '1/8'}",,"{'son': 7.0, 'son_of_son': 0, 'wife': 1.0, 'total_shares': 8.0}"
"{'son': 'A', 'son_of_son': '0', 'mutiqa': '0'}","{'son': '1', 'son_of_son': '0', 'mutiqa': '0'}",,"{'son': 1.0, 'son_of_son': 0, 'mutiqa': 0, 'total_shares': 1.0}"
"{'son': 'A', 'father': '1/6', 'father_of_father': '0'}","{'son': '5/6', 'father': '1/6', 'father_of_father': '0'}",,"{'son': 5.0, 'father': 1.0, 'father_of_father': 0, 'total_shares': 6.0}"
"{'son': 'A', 'father': '1/6', 'brother': '0'}","{'son': '5/6', 'father': '1/6', 'brother': '0'}",,"{'son': 5.0, 'father': 1.0, 'brother': 0, 'total_shares': 6.0}"
"{'son': 'A', 'father': '1/6', 'paternal_halfbrother': '0'}","{'son': '5/6', 'father': '1/6', 'paternal_halfbrother': '0'}",,"{'son': 5.0, 'father': 1.0, 'paternal_halfbrother': 0, 'total_shares': 6.0}"
"{'son': 'A', 'father': '1/6', 'maternal_halfbrother': '0'}","{'son': '5/6', 'father': '1/6', 'maternal_halfbrother': '0'}",,"{'son': 5.0, 'father': 1.0, 'maternal_halfbrother': 0, 'total_shares': 6.0}"
"{'son': 'A', 'father': '1/6', 'nephew_brother': '0'}","{'son': '5/6', 'father': '1/6', 'nephew_brother': '0'}",,"{'son': 5.0, 'father': 1.0, 'nephew_brother': 0, 'total_shares': 6.0}"
"{'son': 'A', 'father': '1/6', 'nephew_paternal_halfbrother': '0'}","{'son': '5/6', 'father': '1/6', 'nephew_paternal_halfbrother': '0'}",,"{'son': 5.0, 'father': 1.0, 'nephew_paternal_halfbrother': 0, 'total_shares': 6.0}"
"{'son': 'A', 'father': '1/6', 'fathers_brother': '0'}","{'son': '5/6', 'father': '1/6', 'fathers_brother': '0'}",,"{'son': 5.0, 'father': 1.0, 'fathers_brother': 0, 'total_shares': 6.0}"
"{'son': 'A', 'father': '1/6', 'fathers_paternal_halfbrother': '0'}","{'son': '5/6', 'father': '1/6', 'fathers_paternal_halfbrother': '0'}",,"{'son': 5.0, 'father': 1.0, 'fathers_paternal_halfbrother': 0, 'total_shares': 6.0}"
