Case,Asaba_Rad,Full_Case
"{'son': 'A', 'grandmother_father': '1/6', 'sister': '0'}","{'son': '5/6', 'grandmother_father': '1/6', 'sister': '0'}",,"{'son': 5.0, 'grandmother_father': 1.0, 'sister': 0, 'total_shares': 6.0}"
"{'son': 'A', 'grandmother_father': '1/6', 'sister_x2': '0'}","{'son': '5/6', 'grandmother_father': '1/6', 'sister_x2': '0'}",,"{'son': 5.0, 'grandmother_father': 1.0, 'sister_1': 0, 'sister_2': 0, 'total_shares': 6.0}"
"{'son': 'A', 'grandmother_father': '1/6', 'paternal_halfsister': '0'}","{'son': '5/6', 'grandmother_father': '1/6', 'paternal_halfsister': '0'}",,"{'son': 5.0, 'grandmother_father': 1.0, 'paternal_halfsister': 0, 'total_shares': 6.0}"
"{'son': 'A', 'grandmother_father': '1/6', 'paternal_halfsister_x2': '0'}","{'son': '5/6', 'grandmother_father': '1/6', 'paternal_halfsister_x2': '0'}",,"{'son': 5.0, 'grandmother_father': 1.0, 'paternal_halfsister_1': 0, 'paternal_halfsister_2': 0, 'total_shares': 6.0}"
"{'son': 'A', 'grandmother_father': '1/6', 'maternal_halfsister': '0'}","{'son': '5/6', 'grandmother_father': '1/6', 'maternal_halfsister': '0'}",,"{'son': 5.0, 'grandmother_father': 1.0, 'maternal_halfsister': 0, 'total_shares': 6.0}"
"{'son': 'A', 'grandmother_father': '1/6', 'maternal_halfsister_x2': '0'}","{'son': '5/6', 'grandmother_father': '1/6', 'maternal_halfsister_x2': '0'}",,"{'son': 5.0, 'grandmother_father': 1.0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 6.0}"
"{'son': 'A', 'grandmother_father': '1/6', 'wife': '1/8'}","{'son': '17/24', 'grandmother_father': '1/6', 'wife': '1/8'}",,"{'son': 17.0, 'grandmother_father': 4.0, 'wife': 3.0, 'total_shares': 24.0}"
"{'son': 'A', 'grandmother_father': '1/6', 'mutiqa': '0'}","{'son': '5/6', 'grandmother_father': '1/6', 'mutiqa': '0'}",,"{'son': 5.0, 'grandmother_father': 1.0, 'mutiqa': 0, 'total_shares': 6.0}"
"{'son': 'A', 'grandmother_mother': '1/6', 'sister': '0'}","{'son': '5/6', 'grandmother_mother': '1/6', 'sister': '0'}",,"{'son': 5.0, 'grandmother_mother': 1.0, 'sister': 0, 'total_shares': 6.0}"
"{'son': 'A', 'grandmother_mother': '1/6', 'sister_x2': '0'}","{'son': '5/6', 'grandmother_mother': '1/6', 'sister_x2': '0'}",,"{'son': 5.0, 'grandmother_mother': 1.0, 'sister_1': 0, 'sister_2': 0, 'total_shares': 6.0}"
"{'son': 'A', 'grandmother_mother': '1/6', 'paternal_halfsister': '0'}","{'son': '5/6', 'grandmother_mother': '1/6', 'paternal_halfsister': '0'}",,"{'son': 5.0, 'grandmother_mother': 1.0, 'paternal_halfsister': 0, 'total_shares': 6.0}"
"{'son': 'A', 'grandmother_mother': '1/6', 'paternal_halfsister_x2': '0'}","{'son': '5/6', 'grandmother_mother': '1/6', 'paternal_halfsister_x2': '0'}",,"{'son': 5.0, 'grandmother_mother': 1.0, 'paternal_halfsister_1': 0, 'paternal_halfsister_2': 0, 'total_shares': 6.0}"
"{'son': 'A', 'grandmother_mother': '1/6', 'maternal_halfsister': '0'}","{'son': '5/6', 'grandmother_mother': '1/6', 'maternal_halfsister': '0'}",,"{'son': 5.0, 'grandmother_mother': 1.0, 'maternal_halfsister': 0, 'total_shares': 6.0}"
"{'son': 'A', 'grandmother_mother': '1/6', 'maternal_halfsister_x2': '0'}","{'son': '5/6', 'grandmother_mother': '1/6', 'maternal_halfsister_x2': '0'}",,"{'son': 5.0, 'grandmother_mother': 1.0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 6.0}"
"{'son': 'A', 'grandmother_mother': '1/6', 'wife': '1/8'}","{'son': '17/24', 'grandmother_mother': '1/6', 'wife': '1/8'}",,"{'son': 17.0, 'grandmother_mother': 4.0, 'wife': 3.0, 'total_shares': 24.0}"
"{'son': 'A', 'grandmother_mother': '1/6', 'mutiqa': '0'}","{'son': '5/6', 'grandmother_mother': '1/6', 'mutiqa': '0'}",,"{'son': 5.0, 'grandmother_mother': 1.0, 'mutiqa': 0, 'total_shares': 6.0}"
"{'son': 'A', 'sister': '0', 'paternal_halfsister': '0'}","{'son': '1', 'sister': '0', 'paternal_halfsister': '0'}",,"{'son': 1.0, 'sister': 0, 'paternal_halfsister': 0, 'total_shares': 1.0}"
"{'son': 'A', 'sister': '0', 'paternal_halfsister_x2': '0'}","{'son': '1', 'sister': '0', 'paternal_halfsister_x2': '0'}",,"{'son': 1.0, 'sister': 0, 'paternal_halfsister_1': 0, 'paternal_halfsister_2': 0, 'total_shares': 1.0}"
"{'son': 'A', 'sister': '0', 'maternal_halfsister': '0'}","{'son': '1', 'sister': '0', 'maternal_halfsister': '0'}",,"{'son': 1.0, 'sister': 0, 'maternal_halfsister': 0, 'total_shares': 1.0}"
"{'son': 'A', 'sister': '0', 'maternal_halfsister_x2': '0'}","{'son': '1', 'sister': '0', 'maternal_halfsister_x2': '0'}",,"{'son': 1.0, 'sister': 0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 1.0}"
"{'son': 'A', 'sister': '0', 'wife': '1/8'}","{'son': '7/8', 'sister': '0', 'wife': '1/8'}",,"{'son': 7.0, 'sister': 0, 'wife': 1.0, 'total_shares': 8.0}"
"{'son': 'A', 'sister': '0', 'mutiqa': '0'}","{'son': '1', 'sister': '0', 'mutiqa': '0'}",,"{'son': 1.0, 'sister': 0, 'mutiqa': 0, 'total_shares': 1.0}"
"{'son': 'A', 'sister_x2': '0', 'paternal_halfsister': '0'}","{'son': '1', 'sister_x2': '0', 'paternal_halfsister': '0'}",,"{'son': 1.0, 'paternal_halfsister': 0, 'sister_1': 0, 'sister_2': 0, 'total_shares': 1.0}"
"{'son': 'A', 'sister_x2': '0', 'paternal_halfsister_x2': '0'}","{'son': '1', 'sister_x2': '0', 'paternal_halfsister_x2': '0'}",,"{'son': 1.0, 'sister_1': 0, 'sister_2': 0, 'paternal_halfsister_1': 0, 'paternal_halfsister_2': 0, 'total_shares': 1.0}"
"{'son': 'A', 'sister_x2': '0', 'maternal_halfsister': '0'}","{'son': '1', 'sister_x2': '0', 'maternal_halfsister': '0'}",,"{'son': 1.0, 'maternal_halfsister': 0, 'sister_1': 0, 'sister_2': 0, 'total_shares': 1.0}"
"{'son': 'A', 'sister_x2': '0', 'maternal_halfsister_x2': '0'}","{'son': '1', 'sister_x2': '0', 'maternal_halfsister_x2': '0'}",,"{'son': 1.0, 'sister_1': 0, 'sister_2': 0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 1.0}"
"{'son': 'A', 'sister_x2': '0', 'wife': '1/8'}","{'son': '7/8', 'sister_x2': '0', 'wife': '1/8'}",,"{'son': 7.0, 'wife': 1.0, 'sister_1': 0, 'sister_2': 0, 'total_shares': 8.0}"
"{'son': 'A', 'sister_x2': '0', 'mutiqa': '0'}","{'son': '1', 'sister_x2': '0', 'mutiqa': '0'}",,"{'son': 1.0, 'mutiqa': 0, 'sister_1': 0, 'sister_2': 0, 'total_shares': 1.0}"
"{'son': 'A', 'paternal_halfsister': '0', 'maternal_halfsister': '0'}","{'son': '1', 'paternal_halfsister': '0', 'maternal_halfsister': '0'}",,"{'son': 1.0, 'paternal_halfsister': 0, 'maternal_halfsister': 0, 'total_shares': 1.0}"
"{'son': 'A', 'paternal_halfsister': '0', 'maternal_halfsister_x2': '0'}","{'son': '1', 'paternal_halfsister': '0', 'maternal_halfsister_x2': '0'}",,"{'son': 1.0, 'paternal_halfsister': 0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 1.0}"
"{'son': 'A', 'paternal_halfsister': '0', 'wife': '1/8'}","{'son': '7/8', 'paternal_halfsister': '0', 'wife': '1/8'}",,"{'son': 7.0, 'paternal_halfsister': 0, 'wife': 1.0, 'total_shares': 8.0}"
"{'son': 'A', 'paternal_halfsister': '0', 'mutiqa': '0'}","{'son': '1', 'paternal_halfsister': '0', 'mutiqa': '0'}",,"{'son': 1.0, 'paternal_halfsister': 0, 'mutiqa': 0, 'total_shares': 1.0}"
"{'son': 'A', 'paternal_halfsister_x2': '0', 'maternal_halfsister': '0'}","{'son': '1', 'paternal_halfsister_x2': '0', 'maternal_halfsister': '0'}",,"{'son': 1.0, 'maternal_halfsister': 0, 'paternal_halfsister_1': 0, 'paternal_halfsister_2': 0, 'total_shares': 1.0}"
"{'son': 'A', 'paternal_halfsister_x2': '0', 'maternal_halfsister_x2': '0'}","{'son': '1', 'paternal_halfsister_x2': '0', 'maternal_halfsister_x2': '0'}",,"{'son': 1.0, 'paternal_halfsister_1': 0, 'paternal_halfsister_2': 0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 1.0}"
"{'son': 'A', 'paternal_halfsister_x2': '0', 'wife': '1/8'}","{'son': '7/8', 'paternal_halfsister_x2': '0', 'wife': '1/8'}",,"{'son': 7.0, 'wife': 1.0, 'paternal_halfsister_1': 0, 'paternal_halfsister_2': 0, 'total_shares': 8.0}"
"{'son': 'A', 'paternal_halfsister_x2': '0', 'mutiqa': '0'}","{'son': '1', 'paternal_halfsister_x2': '0', 'mutiqa': '0'}",,"{'son': 1.0, 'mutiqa': 0, 'paternal_halfsister_1': 0, 'paternal_halfsister_2': 0, 'total_shares': 1.0}"
"{'son': 'A', 'maternal_halfsister': '0', 'wife': '1/8'}","{'son': '7/8', 'maternal_halfsister': '0', 'wife': '1/8'}",,"{'son': 7.0, 'maternal_halfsister': 0, 'wife': 1.0, 'total_shares': 8.0}"
"{'son': 'A', 'maternal_halfsister': '0', 'mutiqa': '0'}","{'son': '1', 'maternal_halfsister': '0', 'mutiqa': '0'}",,"{'son': 1.0, 'maternal_halfsister': 0, 'mutiqa': 0, 'total_shares': 1.0}"
"{'son': 'A', 'maternal_halfsister_x2': '0', 'wife': '1/8'}","{'son': '7/8', 'maternal_halfsister_x2': '0', 'wife': '1/8'}",,"{'son': 7.0, 'wife': 1.0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 8.0}"
"{'son': 'A', 'maternal_halfsister_x2': '0', 'mutiqa': '0'}","{'son': '1', 'maternal_halfsister_x2': '0', 'mutiqa': '0'}",,"{'son': 1.0, 'mutiqa': 0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 1.0}"
"{'son': 'A', 'wife': '1/8', 'mutiqa': '0'}","{'son': '7/8', 'wife': '1/8', 'mutiqa': '0'}",,"{'son': 7.0, 'wife': 1.0, 'mutiqa': 0, 'total_shares': 8.0}"
"{'son_of_son': 'A', 'father': '1/6', 'father_of_father': '0'}","{'son_of_son': '5/6', 'father': '1/6', 'father_of_father': '0'}",,"{'son_of_son': 5.0, 'father': 1.0, 'father_of_father': 0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father': '1/6', 'brother': '0'}","{'son_of_son': '5/6', 'father': '1/6', 'brother': '0'}",,"{'son_of_son': 5.0, 'father': 1.0, 'brother': 0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father': '1/6', 'paternal_halfbrother': '0'}","{'son_of_son': '5/6', 'father': '1/6', 'paternal_halfbrother': '0'}",,"{'son_of_son': 5.0, 'father': 1.0, 'paternal_halfbrother': 0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father': '1/6', 'maternal_halfbrother': '0'}","{'son_of_son': '5/6', 'father': '1/6', 'maternal_halfbrother': '0'}",,"{'son_of_son': 5.0, 'father': 1.0, 'maternal_halfbrother': 0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father': '1/6', 'nephew_brother': '0'}","{'son_of_son': '5/6', 'father': '1/6', 'nephew_brother': '0'}",,"{'son_of_son': 5.0, 'father': 1.0, 'nephew_brother': 0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father': '1/6', 'nephew_paternal_halfbrother': '0'}","{'son_of_son': '5/6', 'father': '1/6', 'nephew_paternal_halfbrother': '0'}",,"{'son_of_son': 5.0, 'father': 1.0, 'nephew_paternal_halfbrother': 0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father': '1/6', 'fathers_brother': '0'}","{'son_of_son': '5/6', 'father': '1/6', 'fathers_brother': '0'}",,"{'son_of_son': 5.0, 'father': 1.0, 'fathers_brother': 0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father': '1/6', 'fathers_paternal_halfbrother': '0'}","{'son_of_son': '5/6', 'father': '1/6', 'fathers_paternal_halfbrother': '0'}",,"{'son_of_son': 5.0, 'father': 1.0, 'fathers_paternal_halfbrother': 0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father': '1/6', 'son_of_fathers_brother': '0'}","{'son_of_son': '5/6', 'father': '1/6', 'son_of_fathers_brother': '0'}",,"{'son_of_son': 5.0, 'father': 1.0, 'son_of_fathers_brother': 0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father': '1/6', 'son_of_fathers_paternal_halfbrother': '0'}","{'son_of_son': '5/6', 'father': '1/6', 'son_of_fathers_paternal_halfbrother': '0'}",,"{'son_of_son': 5.0, 'father': 1.0, 'son_of_fathers_paternal_halfbrother': 0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father': '1/6', 'husband': '1/4'}","{'son_of_son': '7/12', 'father': '1/6', 'husband': '1/4'}",,"{'son_of_son': 7.0, 'father': 2.0, 'husband': 3.0, 'total_shares': 12.0}"
"{'son_of_son': 'A', 'father': '1/6', 'atiq': '0'}","{'son_of_son': '5/6', 'father': '1/6', 'atiq': '0'}",,"{'son_of_son': 5.0, 'father': 1.0, 'atiq': 0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father': '1/6', 'daughter': '1/2'}","{'son_of_son': '1/3', 'father': '1/6', 'daughter': '1/2'}",,"{'son_of_son': 2.0, 'father': 1.0, 'daughter': 3.0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father': '1/6', 'daughter_x2': '2/3'}","{'son_of_son': '1/6', 'father': '1/6', 'daughter_x2': '2/3'}",,"{'son_of_son': 1.0, 'father': 1.0, 'daughter_1': 2.0, 'daughter_2': 2.0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father': '1/6', 'daughter_of_son': 'A'}","{'son_of_son': '5/9', 'father': '1/6', 'daughter_of_son': '5/18'}",,"{'son_of_son': 10.0, 'father': 3.0, 'daughter_of_son': 5.0, 'total_shares': 18.0}"
"{'son_of_son': 'A', 'father': '1/6', 'daughter_of_son_x2': 'A'}","{'son_of_son': '5/12', 'father': '1/6', 'daughter_of_son_x2': '5/12'}",,"{'son_of_son': 10.0, 'father': 4.0, 'daughter_of_son_1': 5.0, 'daughter_of_son_2': 5.0, 'total_shares': 24.0}"
"{'son_of_son': 'A', 'father': '1/6', 'mother': '1/6'}","{'son_of_son': '2/3', 'father': '1/6', 'mother': '1/6'}",,"{'son_of_son': 4.0, 'father': 1.0, 'mother': 1.0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father': '1/6', 'grandmother_father': '0'}","{'son_of_son': '5/6', 'father': '1/6', 'grandmother_father': '0'}",,"{'son_of_son': 5.0, 'father': 1.0, 'grandmother_father': 0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father': '1/6', 'grandmother_mother': '1/6'}","{'son_of_son': '2/3', 'father': '1/6', 'grandmother_mother': '1/6'}",,"{'son_of_son': 4.0, 'father': 1.0, 'grandmother_mother': 1.0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father': '1/6', 'sister': '0'}","{'son_of_son': '5/6', 'father': '1/6', 'sister': '0'}",,"{'son_of_son': 5.0, 'father': 1.0, 'sister': 0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father': '1/6', 'sister_x2': '0'}","{'son_of_son': '5/6', 'father': '1/6', 'sister_x2': '0'}",,"{'son_of_son': 5.0, 'father': 1.0, 'sister_1': 0, 'sister_2': 0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father': '1/6', 'paternal_halfsister': '0'}","{'son_of_son': '5/6', 'father': '1/6', 'paternal_halfsister': '0'}",,"{'son_of_son': 5.0, 'father': 1.0, 'paternal_halfsister': 0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father': '1/6', 'paternal_halfsister_x2': '0'}","{'son_of_son': '5/6', 'father': '1/6', 'paternal_halfsister_x2': '0'}",,"{'son_of_son': 5.0, 'father': 1.0, 'paternal_halfsister_1': 0, 'paternal_halfsister_2': 0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father': '1/6', 'maternal_halfsister': '0'}","{'son_of_son': '5/6', 'father': '1/6', 'maternal_halfsister': '0'}",,"{'son_of_son': 5.0, 'father': 1.0, 'maternal_halfsister': 0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father': '1/6', 'maternal_halfsister_x2': '0'}","{'son_of_son': '5/6', 'father': '1/6', 'maternal_halfsister_x2': '0'}",,"{'son_of_son': 5.0, 'father': 1.0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father': '1/6', 'wife': '1/8'}","{'son_of_son': '17/24', 'father': '1/6', 'wife': '1/8'}",,"{'son_of_son': 17.0, 'father': 4.0, 'wife': 3.0, 'total_shares': 24.0}"
"{'son_of_son': 'A', 'father': '1/6', 'mutiqa': '0'}","{'son_of_son': '5/6', 'father': '1/6', 'mutiqa': '0'}",,"{'son_of_son': 5.0, 'father': 1.0, 'mutiqa': 0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father_of_father': '1/2', 'brother': 'A'}","{'son_of_son': '1/4', 'father_of_father': '1/2', 'brother': '1/4'}",,"{'son_of_son': 1.0, 'father_of_father': 2.0, 'brother': 1.0, 'total_shares': 4.0}"
"{'son_of_son': 'A', 'father_of_father': '1/2', 'paternal_halfbrother': 'A'}","{'son_of_son': '1/4', 'father_of_father': '1/2', 'paternal_halfbrother': '1/4'}",,"{'son_of_son': 1.0, 'father_of_father': 2.0, 'paternal_halfbrother': 1.0, 'total_shares': 4.0}"
"{'son_of_son': 'A', 'father_of_father': '1/6', 'maternal_halfbrother': '0'}","{'son_of_son': '5/6', 'father_of_father': '1/6', 'maternal_halfbrother': '0'}",,"{'son_of_son': 5.0, 'father_of_father': 1.0, 'maternal_halfbrother': 0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father_of_father': '1/6', 'nephew_brother': '0'}","{'son_of_son': '5/6', 'father_of_father': '1/6', 'nephew_brother': '0'}",,"{'son_of_son': 5.0, 'father_of_father': 1.0, 'nephew_brother': 0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father_of_father': '1/6', 'nephew_paternal_halfbrother': '0'}","{'son_of_son': '5/6', 'father_of_father': '1/6', 'nephew_paternal_halfbrother': '0'}",,"{'son_of_son': 5.0, 'father_of_father': 1.0, 'nephew_paternal_halfbrother': 0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father_of_father': '1/6', 'fathers_brother': '0'}","{'son_of_son': '5/6', 'father_of_father': '1/6', 'fathers_brother': '0'}",,"{'son_of_son': 5.0, 'father_of_father': 1.0, 'fathers_brother': 0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father_of_father': '1/6', 'fathers_paternal_halfbrother': '0'}","{'son_of_son': '5/6', 'father_of_father': '1/6', 'fathers_paternal_halfbrother': '0'}",,"{'son_of_son': 5.0, 'father_of_father': 1.0, 'fathers_paternal_halfbrother': 0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father_of_father': '1/6', 'son_of_fathers_brother': '0'}","{'son_of_son': '5/6', 'father_of_father': '1/6', 'son_of_fathers_brother': '0'}",,"{'son_of_son': 5.0, 'father_of_father': 1.0, 'son_of_fathers_brother': 0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father_of_father': '1/6', 'son_of_fathers_paternal_halfbrother': '0'}","{'son_of_son': '5/6', 'father_of_father': '1/6', 'son_of_fathers_paternal_halfbrother': '0'}",,"{'son_of_son': 5.0, 'father_of_father': 1.0, 'son_of_fathers_paternal_halfbrother': 0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father_of_father': '1/6', 'husband': '1/4'}","{'son_of_son': '7/12', 'father_of_father': '1/6', 'husband': '1/4'}",,"{'son_of_son': 7.0, 'father_of_father': 2.0, 'husband': 3.0, 'total_shares': 12.0}"
"{'son_of_son': 'A', 'father_of_father': '1/6', 'atiq': '0'}","{'son_of_son': '5/6', 'father_of_father': '1/6', 'atiq': '0'}",,"{'son_of_son': 5.0, 'father_of_father': 1.0, 'atiq': 0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father_of_father': '1/6', 'daughter': '1/2'}","{'son_of_son': '1/3', 'father_of_father': '1/6', 'daughter': '1/2'}",,"{'son_of_son': 2.0, 'father_of_father': 1.0, 'daughter': 3.0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father_of_father': '1/6', 'daughter_x2': '2/3'}","{'son_of_son': '1/6', 'father_of_father': '1/6', 'daughter_x2': '2/3'}",,"{'son_of_son': 1.0, 'father_of_father': 1.0, 'daughter_1': 2.0, 'daughter_2': 2.0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father_of_father': '1/6', 'daughter_of_son': 'A'}","{'son_of_son': '5/9', 'father_of_father': '1/6', 'daughter_of_son': '5/18'}",,"{'son_of_son': 10.0, 'father_of_father': 3.0, 'daughter_of_son': 5.0, 'total_shares': 18.0}"
"{'son_of_son': 'A', 'father_of_father': '1/6', 'daughter_of_son_x2': 'A'}","{'son_of_son': '5/12', 'father_of_father': '1/6', 'daughter_of_son_x2': '5/12'}",,"{'son_of_son': 10.0, 'father_of_father': 4.0, 'daughter_of_son_1': 5.0, 'daughter_of_son_2': 5.0, 'total_shares': 24.0}"
"{'son_of_son': 'A', 'father_of_father': '1/6', 'mother': '1/6'}","{'son_of_son': '2/3', 'father_of_father': '1/6', 'mother': '1/6'}",,"{'son_of_son': 4.0, 'father_of_father': 1.0, 'mother': 1.0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father_of_father': '1/6', 'grandmother_father': '1/6'}","{'son_of_son': '2/3', 'father_of_father': '1/6', 'grandmother_father': '1/6'}",,"{'son_of_son': 4.0, 'father_of_father': 1.0, 'grandmother_father': 1.0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father_of_father': '1/6', 'grandmother_mother': '1/6'}","{'son_of_son': '2/3', 'father_of_father': '1/6', 'grandmother_mother': '1/6'}",,"{'son_of_son': 4.0, 'father_of_father': 1.0, 'grandmother_mother': 1.0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father_of_father': '2/3', 'sister': '1/3'}","{'son_of_son': '0', 'father_of_father': '2/3', 'sister': '1/3'}",,"{'son_of_son': 0, 'father_of_father': 2.0, 'sister': 1.0, 'total_shares': 3.0}"
"{'son_of_son': 'A', 'father_of_father': '1/2', 'sister_x2': '1/2'}","{'son_of_son': '0', 'father_of_father': '1/2', 'sister_x2': '1/2'}",,"{'son_of_son': 0, 'father_of_father': 2.0, 'sister_1': 1.0, 'sister_2': 1.0, 'total_shares': 4.0}"
"{'son_of_son': 'A', 'father_of_father': '2/3', 'paternal_halfsister': 'A'}","{'son_of_son': '2/9', 'father_of_father': '2/3', 'paternal_halfsister': '1/9'}",,"{'son_of_son': 2.0, 'father_of_father': 6.0, 'paternal_halfsister': 1.0, 'total_shares': 9.0}"
"{'son_of_son': 'A', 'father_of_father': '1/2', 'paternal_halfsister_x2': 'A'}","{'son_of_son': '1/4', 'father_of_father': '1/2', 'paternal_halfsister_x2': '1/4'}",,"{'son_of_son': 2.0, 'father_of_father': 4.0, 'paternal_halfsister_1': 1.0, 'paternal_halfsister_2': 1.0, 'total_shares': 8.0}"
"{'son_of_son': 'A', 'father_of_father': '1/6', 'maternal_halfsister': '0'}","{'son_of_son': '5/6', 'father_of_father': '1/6', 'maternal_halfsister': '0'}",,"{'son_of_son': 5.0, 'father_of_father': 1.0, 'maternal_halfsister': 0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father_of_father': '1/6', 'maternal_halfsister_x2': '0'}","{'son_of_son': '5/6', 'father_of_father': '1/6', 'maternal_halfsister_x2': '0'}",,"{'son_of_son': 5.0, 'father_of_father': 1.0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'father_of_father': '1/6', 'wife': '1/8'}","{'son_of_son': '17/24', 'father_of_father': '1/6', 'wife': '1/8'}",,"{'son_of_son': 17.0, 'father_of_father': 4.0, 'wife': 3.0, 'total_shares': 24.0}"
"{'son_of_son': 'A', 'father_of_father': '1/6', 'mutiqa': '0'}","{'son_of_son': '5/6', 'father_of_father': '1/6', 'mutiqa': '0'}",,"{'son_of_son': 5.0, 'father_of_father': 1.0, 'mutiqa': 0, 'total_shares': 6.0}"
"{'son_of_son': 'A', 'brother': '0', 'paternal_halfbrother': '0'}","{'son_of_son': '1', 'brother': '0', 'paternal_halfbrother': '0'}",,"{'son_of_son': 1.0, 'brother': 0, 'paternal_halfbrother': 0, 'total_shares': 1.0}"
"{'son_of_son': 'A', 'brother': '0', 'maternal_halfbrother': '0'}","{'son_of_son': '1', 'brother': '0', 'maternal_halfbrother': '0'}",,"{'son_of_son': 1.0, 'brother': 0, 'maternal_halfbrother': 0, 'total_shares': 1.0}"
"{'son_of_son': 'A', 'brother': '0', 'nephew_brother': '0'}","{'son_of_son': '1', 'brother': '0', 'nephew_brother': '0'}",,"{'son_of_son': 1.0, 'brother': 0, 'nephew_brother': 0, 'total_shares': 1.0}"
"{'son_of_son': 'A', 'brother': '0', 'nephew_paternal_halfbrother': '0'}","{'son_of_son': '1', 'brother': '0', 'nephew_paternal_halfbrother': '0'}",,"{'son_of_son': 1.0, 'brother': 0, 'nephew_paternal_halfbrother': 0, 'total_shares': 1.0}"
"{'son_of_son': 'A', 'brother': '0', 'fathers_brother': '0'}","{'son_of_son': '1', 'brother': '0', 'fathers_brother': '0'}",,"{'son_of_son': 1.0, 'brother': 0, 'fathers_brother': 0, 'total_shares': 1.0}"
"{'son_of_son': 'A', 'brother': '0', 'fathers_paternal_halfbrother': '0'}","{'son_of_son': '1', 'brother': '0', 'fathers_paternal_halfbrother': '0'}",,"{'son_of_son': 1.0, 'brother': 0, 'fathers_paternal_halfbrother': 0, 'total_shares': 1.0}"
"{'son_of_son': 'A', 'brother': '0', 'son_of_fathers_brother': '0'}","{'son_of_son': '1', 'brother': '0', 'son_of_fathers_brother': '0'}",,"{'son_of_son': 1.0, 'brother': 0, 'son_of_fathers_brother': 0, 'total_shares': 1.0}"
"{'son_of_son': 'A', 'brother': '0', 'son_of_fathers_paternal_halfbrother': '0'}","{'son_of_son': '1', 'brother': '0', 'son_of_fathers_paternal_halfbrother': '0'}",,"{'son_of_son': 1.0, 'brother': 0, 'son_of_fathers_paternal_halfbrother': 0, 'total_shares': 1.0}"
"{'son_of_son': 'A', 'brother': '0', 'husband': '1/4'}","{'son_of_son': '3/4', 'brother': '0', 'husband': '1/4'}",,"{'son_of_son': 3.0, 'brother': 0, 'husband': 1.0, 'total_shares': 4.0}"
"{'son_of_son': 'A', 'brother': '0', 'atiq': '0'}","{'son_of_son': '1', 'brother': '0', 'atiq': '0'}",,"{'son_of_son': 1.0, 'brother': 0, 'atiq': 0, 'total_shares': 1.0}"
